TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Área Privativa / Garden com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-garden-com-3-dormitorios-a-venda-em-belo-horizonte-1179510995,2023-08-06,Belo Horizonte,31160560,Palmares,R$ 400,R$ 0,144m²,3,3,2,"Armários na cozinha, Churrasqueira",650000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179510984,2023-08-06,Belo Horizonte,31155700,Palmares,R$ 1,R$ 1,85m²,3,2,2,"Área de serviço, Armários na cozinha",550000,zona_nordeste
Cobertura com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-em-belo-horizonte-1179510900,2023-08-06,Belo Horizonte,31140610,Ipiranga,R$ 1,R$ 1,154m²,3,3,2,"Área de serviço, Armários na cozinha, Churrasqueira",637000,zona_nordeste
Cobertura com 4 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-4-dormitorios-a-venda-em-belo-horizonte-1179510562,2023-08-06,Belo Horizonte,31910385,Fernão Dias,R$ 550,R$ 0,231m²,4,3,5 ou mais,Churrasqueira,848990,zona_nordeste
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1179510559,2023-08-06,Belo Horizonte,31140520,Silveira,R$ 350,R$ 0,62m²,2,2,2,N/A,560000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179510367,2023-08-06,Belo Horizonte,31140440,Silveira,R$ 1,R$ 1,92m²,3,2,2,"Área de serviço, Armários na cozinha",560000,zona_nordeste
Área Privativa / Garden com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-garden-com-3-dormitorios-a-venda-em-belo-horizonte-1179509553,2023-08-06,Belo Horizonte,31910410,Fernão Dias,R$ 249,R$ 165,100m²,3,3,2,"Área de serviço, Armários na cozinha, Churrasqueira",700000,zona_nordeste
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1179509537,2023-08-06,Belo Horizonte,31950490,Goiânia,R$ 187,R$ 84,52m²,2,2,1,N/A,290000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179509484,2023-08-06,Belo Horizonte,31140340,Nova Floresta,R$ 1,R$ 1,100m²,3,2,2,N/A,650000,zona_nordeste
Cobertura com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-em-belo-horizonte-1179509406,2023-08-06,Belo Horizonte,31140420,Silveira,R$ 550,R$ 315,160m²,3,3,3,N/A,890000,zona_nordeste
