,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Quarto de serviço,DETAIL_Varanda,DETAIL_Área de serviço,PRICE,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste
120,300,99,46,2,1,1,0,0,0,0,0,0,0,0,0,0,260000.0,False,False,False,False,False,False,False,False
121,360,0,43,2,1,1,0,0,0,0,0,0,0,0,0,0,160000.0,False,False,False,False,False,False,False,False
122,680,2,115,2,2,2,0,0,0,0,1,0,0,0,0,1,510000.0,False,False,False,False,False,False,False,False
123,408,130,75,3,2,1,0,0,0,0,0,0,1,0,1,0,380000.0,False,False,False,False,False,False,False,False
124,450,10,70,3,2,1,0,0,0,0,0,0,0,0,0,0,300000.0,False,False,False,False,False,False,False,False
125,200,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,185000.0,False,False,False,False,False,False,False,False
126,300,177,57,2,2,2,0,0,0,0,1,0,0,0,1,1,600000.0,False,False,False,False,False,False,False,False
127,200,1,122,3,1,2,0,0,0,0,0,0,0,0,0,1,480000.0,False,False,False,False,False,False,False,False
128,300,82,45,1,1,1,0,0,0,0,0,0,0,0,0,0,150000.0,False,False,False,False,False,False,False,False
129,200,0,50,2,1,1,0,0,1,0,1,0,0,0,0,0,150000.0,False,False,False,False,False,False,False,False
130,20,36,70,3,1,1,0,0,0,0,0,0,0,0,0,1,250000.0,False,False,False,False,False,False,False,False
131,200,0,50,2,1,1,0,0,0,0,1,0,0,0,0,0,150000.0,False,False,False,False,False,False,False,False
132,0,0,80,3,1,2,0,0,0,0,0,0,0,0,0,1,650000.0,False,False,False,False,False,False,False,False
133,200,0,129,3,1,2,0,0,0,0,0,0,0,0,0,1,630000.0,False,False,False,False,False,False,False,False
134,400,0,70,3,1,1,0,0,0,0,1,0,1,0,0,0,270000.0,False,False,False,False,False,False,False,False
135,680,2,115,2,2,2,0,0,0,0,1,0,0,0,0,1,510000.0,False,False,False,False,False,False,False,False
136,282,0,65,3,1,1,0,0,0,0,0,0,0,0,0,0,200000.0,False,False,False,False,False,False,False,False
137,250,600,79,2,2,1,0,0,0,0,0,0,0,0,0,1,420000.0,False,False,False,False,False,False,False,False
138,480,216,152,4,3,2,0,0,0,0,0,0,0,0,1,0,720000.0,False,False,False,False,False,False,False,False
139,0,0,100,2,1,1,0,0,0,0,0,0,0,0,0,0,580000.0,False,False,False,False,False,False,False,False
140,0,0,152,3,1,2,0,0,0,0,0,0,0,0,0,0,587992.0,False,False,False,False,False,False,False,False
141,180,0,50,2,1,1,0,0,0,0,0,0,0,0,0,0,122000.0,False,False,False,False,False,False,False,False
142,250,0,78,3,1,1,0,0,1,0,0,0,0,0,0,0,250000.0,False,False,False,False,False,False,False,False
143,110,0,55,2,1,1,0,0,1,0,0,0,0,0,0,0,147000.0,False,False,False,False,False,False,False,False
144,250,0,55,2,1,1,0,0,0,0,1,0,0,0,0,0,178000.0,False,False,False,False,False,False,False,False
