,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
119,75,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,592,430000.0
120,46,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,260000.0
121,43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,160000.0
122,115,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,682,510000.0
123,75,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,538,380000.0
124,70,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,300000.0
125,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,185000.0
126,57,2,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,477,600000.0
127,122,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,201,480000.0
128,45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,150000.0
129,50,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,150000.0
130,70,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,250000.0
131,50,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,150000.0
132,80,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,650000.0
133,129,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,630000.0
134,70,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,400,270000.0
135,115,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,682,510000.0
136,65,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,200000.0
137,79,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,850,420000.0
138,152,4,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,696,720000.0
139,100,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580000.0
